epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
92,51.5338,0.52967,0.38927,0.95829,0.02373,0.91898,0.95435,0.95569,0.80904,0.67155,0.47751,1.16263,0.03398,0.000785307,0.000785307,0.000785307
93,52.0555,0.56188,0.40518,0.97514,0.03414,0.92817,0.94579,0.95469,0.81882,0.66765,0.46119,1.15473,0.0374,0.000778233,0.000778233,0.000778233
94,52.5735,0.56927,0.40977,0.97223,0.03106,0.93041,0.93622,0.95601,0.82316,0.6568,0.45318,1.14617,0.03543,0.00077116,0.00077116,0.00077116
95,53.1047,0.54043,0.38856,0.95495,0.0281,0.92719,0.93889,0.95749,0.82429,0.65582,0.4557,1.14242,0.03492,0.000764086,0.000764086,0.000764086
96,53.6386,0.56213,0.39629,0.96429,0.02628,0.931,0.9389,0.95804,0.82349,0.66334,0.46735,1.15038,0.03754,0.000757013,0.000757013,0.000757013
97,54.1487,0.5766,0.40178,0.9747,0.03095,0.90879,0.97256,0.95822,0.8256,0.65987,0.45371,1.14433,0.03767,0.000749939,0.000749939,0.000749939
98,54.6786,0.56368,0.3959,0.96569,0.02725,0.89744,0.96272,0.95982,0.83066,0.65518,0.44275,1.13757,0.03407,0.000742866,0.000742866,0.000742866
99,55.2032,0.55658,0.40591,0.96902,0.02765,0.93868,0.9141,0.95915,0.8189,0.66242,0.45028,1.14459,0.0357,0.000735792,0.000735792,0.000735792
100,55.7235,0.57006,0.4067,0.9933,0.0316,0.94489,0.91234,0.96662,0.82633,0.66444,0.46189,1.14244,0.04012,0.000728719,0.000728719,0.000728719
101,56.2406,0.55665,0.40374,0.97797,0.03222,0.9033,0.9655,0.9646,0.82551,0.6538,0.46482,1.13601,0.03858,0.000721645,0.000721645,0.000721645
102,56.7616,0.5641,0.39113,0.95911,0.0331,0.91394,0.96878,0.95869,0.81902,0.65802,0.45667,1.13826,0.03403,0.000714571,0.000714571,0.000714571
103,57.2696,0.56493,0.40097,0.96604,0.03034,0.91414,0.97185,0.96296,0.82855,0.65693,0.44567,1.13209,0.03467,0.000707498,0.000707498,0.000707498
104,57.7886,0.5584,0.39954,0.9798,0.03155,0.90965,0.97027,0.96391,0.8361,0.65018,0.43572,1.12388,0.03609,0.000700424,0.000700424,0.000700424
